item_code,uom,price_cents
"AER-STA-CER-10""",PCS,3290
AGR-NET-SUN-GLO-50%,MTR,240
AGR-NET-SUN-GLO-70%,MTR,290
AIR-CHU-E-111-3,PCS,3790
AIR-CHU-JC-302E,PCS,1190
AIR-CHU-LTMS-250MM,PCS,2150
"AIR-CHU-MAD-10""",PCS,4180
AIRCON-MID-MSCEB-10CRFN8-ID,SET,95000
AIRCON-MID-MSCEB-13CRFN8-ID,SET,129000
AIR-COO-KHI-EAC600,SET,34900
AIR-COO-KHI-KEAC158,SET,58500
AIR-DUS-HITMAX-HTM-255,SET,1490
AIR-DUS-LX03,PCS,1090
AIR-DUS-MDSI-04061,PCS,3090
AIR-DUS-MDSI-04062,PCS,4190
AIR-DUS-PVC-LX02,PCS,880
AIR-DUSTER-MN10-00153L,PCS,1590
AIR-DUS-TWN-LONG,PCS,1690
AIR-GAU-LTMS,SET,4200
AIR-MAD-GAU-160PSI,PCS,8500
"AIR-TG-9-GAU-12""",PCS,3550
ALP-ATER-50L-H,UNIT,77000
ALP-MOU-25L-H,UNIT,84800
ALP-MOU-35L-H,UNIT,92800
ALP-MOU-50L-H,UNIT,79900
ALP-MOU-68L-H,UNIT,121800
ALP-PRES-BAR,UNIT,16000
ALP-SHO-ACC,UNIT,3000
ALP-WAT-HEA-5000EP-WHI,UNIT,51900
ALP-WAT-HEA-CX9-E-MOC,UNIT,57900
ALP-WAT-HEA-CX9-EP-MOC,UNIT,76900
ALP-WAT-HEA-EZY,UNIT,37900
ALP-WAT-HEA-EZY-I,UNIT,53900
ALP-WAT-HEA-IM-9E-BLK,UNIT,62900
ALP-WAT-HEA-IM-9EP-BLK,UNIT,82900
ALP-WAT-HEA-IM-9EP-SIL,UNIT,82900
ALP-WAT-HEA-IM-9E-SIL,UNIT,62900
ALP-WAT-HEA-X5E,UNIT,32900
"ALUM-HOLLOW-2""X1""-3",PCS,3590
"ALUM-HOLLOW-2""X1""-4",PCS,2690
ALU-MOL-END-10FT,PCS,4500
ALUM-ROU-18MM,MTR,980
"ALUM-ROU-2""X1.0MMX6.1M",LTH,24500
"ALUM-ROU-20'X1.1/2""",PCS,8200
ALUM-ROU-25MM,MTR,1290
ALUM-ROU-32MM-10'-MB,PCS,3700
ALUM-ROU-32MM-10'-NA,PCS,3750
ALUM-ROU-32MM-20'-MB,PCS,7900
"ALUM-ROU-NA-20'X1.1/4""",PCS,7490
ALUM-WIN-1X2,SET,10500
ANG-EAV901SS,PCS,3170
ANG-GRI-ATAG01-760,UNIT,12900
ANT-CUT-BLA-BOS-BS-310015,PCS,400
ANT-KILL-BAIT,PCK,350
ANT-KILL-XINHE,PCK,90
ANT-STR-JAP-OYAMA,FTS,390
APR-NKS-MYTA-0001,PCS,5290
APR-NKS-PVC-MSHGPYA-0001,PCS,1420
APR-PRO-WCPA,SHT,1580
APR-PVC-YEL,PCS,620
ARG-GAS-CYL,PCS,35900
ARM-PADS,PAIR,430
ARR-BAN-STE-APB1210,ROLL,2390
ARR-BAN-STE-APB1710,ROLL,2690
AUT-POL-AUT-MET75ML,PCS,1480
AUT-POL-AUT-SS75ML,PCS,1950
B,PCS,283
BAJA-BAY,BTL,15900
BAJA-NPK-16,BAG,9200
BAJA-ORG-BAS,BTL,5900
BAJA-ORG-TAF,BAG,4800
BAJA-TAH-AYAM,LOT,66038
BAR-Y10,PCS,3900
BAR-Y10-SQU,PCS,3900
BAR-Y12X40',PCS,5500
BAR-Y16,PCS,5700
BAS-1002,UNIT,4800
BAS-AGRI-BASK-V1034,PCS,3290
BAS-AGRI-BASK-V104,PCS,5790
BAS-CAB-CKS330/331BK,UNIT,7900
BAS-CAB-CKS332BK,UNIT,8700
BAS-CAB-CWB1409-CB,PCS,28800
BAS-PAP-2055,PCS,590
BAS-PAP-367,PCS,800
BAS-PAP-EEL-113,PCS,690
BAS-PAP-GHO110,PCS,590
BAS-PAP-J1008MT,PCS,360
BAS-SAN-WB-206,PCS,11900
BAS-SAN-WB-288,PCS,11500
BAS-SAN-WB-400,PCS,29900
BAS-SAN-WB-502,PCS,39900
BAS-SAN-WB-880,PCS,22900
BAS-SOR-SRT7013-BL,PCS,8800
BAS-SOR-SRT7014-GM,PCS,9800
BAS-SOR-SRT7015-BL,PCS,8900
BAS-SOR-SRT7016-GM,PCS,9900
BAS-SOR-SRTBK7003-HP,PCS,8200
BAS-SOR-SRTBK7004-HP,PCS,8200
BAS-SOR-SRTW1100-BL,PCS,8800
BAS-SOR-SRTW1200-BL,PCS,8900
BAS-SOR-SRTW2600,PCS,6900
BAS-SOR-SRTW5000,PCS,7800
BAS-SOR-SRTWB1086,PCS,33900
BAS-SOR-SRTWB1086-BL,PCS,58800
BAS-SOR-SRTWB1409,PCS,35900
BAS-SOR-SRTWB1411,PCS,39900
BAS-SOR-SRTWB3403,PCS,69900
BAS-SOR-SRTWB3415-BW,PCS,64900
BAS-SOR-SRTWB7132,PCS,30900
BAS-SOR-SRTWB7249,PCS,33900
BAS-SOR-SRTWT5608,PCS,20800
BAS-SOR-SRTWT5865-FRG,PCS,15800
BAS-SOR-SRTWT5865-GM,PCS,16900
BAS-SOR-SRTWT5865-GY,PCS,15900
BAS-SOR-SRTWT6801,PCS,23900
BAS-SOR-SRTWT6802,PCS,27900
BAS-SOR-SRTWT6806-MIX,PCS,53900
BAS-SOR-SRTWT6807-RG-MIX,PCS,59800
BAS-SOR-SRTWT6851-GY,PCS,32800
BAS-SOR-SRTWT6861-FRG,PCS,32900
BAS-SOR-SRTWT7202,PCS,19900
BAS-SOR-SRTWT7202-GM,PCS,24900
BAS-SOR-SRTWT7203,PCS,38800
BAS-SOR-SRTWT-7203-BL,PCS,41800
BAS-SOR-SRTWT7203-GM,PCS,44800
BAS-SOR-SRTWT8301-RG,PCS,26900
BAS-SOR-SRTWT8303-RG,PCS,44900
"BAS-WAS-BRA-1.1/2""",PCS,1690
"BAS-WAS-BRA-1.1/4""",PCS,1550
BAT-AIKADO-12V,PCS,6150
BAT-BL2018-KR,PCS,17500
BAT-BOSSMAN-20V,PCS,13200
BAT-CHA-10A-6/12V,PCS,9900
BAT-CHA-20A-12/24V,UNIT,23500
BAT-CHA-30A-12/24V,UNIT,29900
BAT-CHA-CHG-3PC,PCK,4660
BAT-CHA-CHG-AA-4PCS,PCK,8990
BAT-CHA-ENE-2AA-THH21,PCS,3450
BAT-CHA-ENE-4AAA-700MAH,PCS,8490
BAT-CHA-GSB 18-2L1 2,UNIT,11500
BAT-CHA-KENDE-SM1212,UNIT,34900
BAT-CHA-KENDE-SM2024,UNIT,63500
BAT-DC-LB1220-1,PCS,11500
BAT-ENE-ADV-AA2PC,PCK,790
BAT-ENE-ADV-AA4PC,PCK,1380
BAT-ENE-ADV-AAA2PC,PCK,840
BAT-ENE-ADV-AAA-4PC,PCK,1480
BAT-ENE-GOL-AA2PC,PCK,720
BAT-ENE-GOL-AA4PC,PCK,1190
BAT-ENE-GOL-AAA2PC,PCK,710
BAT-ENE-GOL-AAA4PC,PCS,1120
BAT-ENE-HD-AA4PCS,PCK,690
BAT-ENE-HD-AAA4PCS,PCK,750
BAT-ENE-HD-D2PCS,PCK,590
BAT-ENE-LIT-2016,PCS,1050
BAT-ENE-LIT-2025,PCS,1190
BAT-ENE-LIT-2032,PCS,990
BAT-ENE-MAX-9V1PCS,PCS,1590
BAT-ENE-MAX-9V2PCS,PCK,2590
BAT-ENE-MAX-AA2PCS,PCK,950
BAT-ENE-MAX-AA4PCS,PCK,1680
BAT-ENE-MAX-AA-8PCS,PCK,2950
BAT-ENE-MAX-AAA2PCS,PCK,970
BAT-ENE-MAX-AAA4PCS,PCK,1690
BAT-ENE-MAX-C2PC,PCS,1490
BAT-ENE-MAX-D2PC,PCK,2050
BAT-ENE-MIN-A23,PCK,620
BAT-ENE-MINI-A27,PCK,630
BAT-ENE-MINI-ALA76,PCK,450
BAT-ENE-REC-2AAA,PACK,4750
BAT-ENE-REC-2AAA-DOLP22,PACK,2090
BAT-ENE-REC-4AA-WB,PCK,4390
BAT-ENE-REC-AA-4PCS,PCK,8150
BAT-ENE-REC-AA-UNIV,PCK,4990
BAT-ENE-SHD-6V1PVC,PCS,1850
BAT-ENE-SHD-8PCS,PCK,1550
BAT-ENE-SHD-9V1PCS,PCK,870
BAT-ENE-SHD-AA2PCS,PCK,380
BAT-ENE-SHD-AA4PCS,PCK,850
BAT-ENE-SHD-AAA12PCS,PCK,2090
BAT-ENE-SHD-AAA2PCS,PCK,390
BAT-ENE-SHD-AAA4PCS,PCK,890
BAT-ENE-SHD-C2PC,PCS,680
BAT-ENE-SHD-D2PCS,PCK,720
BAT-ENR-MAX-AAA-8PCS,PCK,2950
BAT-EVE-AA-8PCS,PCK,1530
BAT-EVE-SHD-AA-12PC,PCK,2050
BATH-CBF3611,PCS,46900
BATH-CBF3612,PCS,46900
BATH-CBF66408-BLK,PCS,39900
BATH-CBF66409-WHI,PCS,39900
BATH-CBFAL5568,PCS,59900
BATH-CBFAL66627-BLK,PCS,71900
BATH-CBFAL66628-WHI,PCS,71900
BATH-CBFAL66633-WHI,PCS,83900
BATH-CBFAL66634-BLK,PCS,83900
BATH-SRTBF11707-BLK,PCS,71800
BATH-SRTBF31416,PCS,148800
BATH-SRTBF31417,PCS,108800
BATH-SRTBF31514,PCS,129900
BAT-INSECTS-KILL,PCS,3990
BAT-MAX-AA,PCK,290
BAT-MAX-AAA,PCK,450
BAT-MKX-2018-12V,PCS,6700
BAT-MKX-2026,PCS,4900
BAT-PSN-LIT3V-CR-1616/5BE,PCS,750
BAT-PSN-LIT3V-CR-1620/5BE,PCS,750
BAT-PSN-LIT3V-CR-1632/5BE,PCS,750
BAT-REC-FP1272-12V,PCS,8600
BAT-REC-FP645-6V,PCS,4690
BAT-REC-GPOWER-GP1270,PCS,7500
BAT-REC-GPP1272,PCS,9750
BAT-REC-SHIMASTU-6V,PCS,4880
BAT-STA-BL2018,PCS,0
BAT-STA-N496300,PCS,16500
BAT-STA-SB202,PCS,19900
BAT-STA-SB204,PCS,31900
BAT-STA-SCB12S,PCS,12900
BAT-TER,PCS,300
BAT-TER-+&-,SET,950
BAT-TOS-AA,PCK,350
BAT-TOS-AAA,PCK,230
BATT-SOLAR-FAN,PCS,2900
BAT-WAT-1L,PCS,250
BBQ-CHA-BRI-3KG,BOX,2190
BBQ-GRI-CN FYZ-2204,SET,34900
BBQ-GRI-CN FYZ-28022A,SET,22900
BBQ-GRI-CN-YH22022,SET,20800
BBQ-GRI-JJD-40X60CM,PCS,1450
BBQ-GRI-JJD-40X70,PCS,1650
BBQ-GRI-JJD-B017,PCS,1250
BBQ-GRI-MD8009,PCS,14900
"BBQ-IEM-PRE-2250CB-22""",UNIT,79800
BBQ-STO-ZC1115,PCS,3590
BBQ-STO-ZC1129,PCS,5900
BB-SWI-2G1W,PCS,660
BEAD-COR-2.5MTR,PCS,190
BEA-PUL-EAS-E0060,PCS,1950
BEA-PUL-EAS-E0061,PCS,3590
BEA-PUL-EAS-E0062,PCS,4890
BEAR-DOOR,PCK,890
BEARING-6202,PCS,1900
BEARING-6203-Z,PCS,950
BEARING-698-22,PCS,1900
BEW-PAL-DC-D-150V,PCS,1415
BIB-G501B,PCS,590
BIB-G503B,PCS,720
BIB-TAP-CLN-AB7122,PCS,2990
BIB-TAP-K2B-LT8114,PCS,2750
BIB-TAP-LUX-LT8523,PCS,2790
BIB-TAP-LUX-LT9513,PCS,2690
BID-BRA-JW001,PCS,15000
BID-CAB-90SS-DIY,PCS,5900
BID-CAB-CB22WH,UNIT,5200
BID-CAB-CB55BL,UNIT,4700
BID-CAB-CB55CR,UNIT,5800
BID-CAB-CB55WH,UNIT,4700
BID-CAB-CB77SS,UNIT,16900
BID-CAB-CB88SS-BL-DIY,PCS,14800
BID-CAB-CB88SS-DIY,PCS,13500
BID-CAB-CB91CR,UNIT,12400
BID-CAB-CB91SS-BL-DIY,PCS,6900
BID-SAN-SBD-304-60075,PCS,4500
BID-SOR-SRT103-GM,PCS,41800
BID-SOR-SRT201-BL,PCS,9900
BID-SOR-SRT61-BL,PCS,17500
BID-SOR-SRT61-CR,PCS,13500
BID-SOR-SRT73-CR-DIY,PCS,6200
BID-SOR-SRT79-SS,PCS,26900
BID-SOR-SRT83-CR,PCS,6800
BID-SOR-SRT86-CR,PCS,8800
BID-SOR-SRT86-GY,PCS,9550
BID-SOR-SRT93-SS,PCS,12500
BID-SOR-SRT95SS-GM,PCS,16500
BID-SOR-SRTWT5879-RG,PCS,22900
BIK-LOC-12X700,PCS,1080
BIK-LOC-15X800MM,PCS,1150
BIT-HOL-DB-2311,PCS,1190
BLA-SAW-TCT-4X30T,PCS,1190
BLA-SAW-TCT-4X40T1000,PCS,1280
BLE-BD335,PCS,11900
BLE-KHI-BL1220,SET,11500
BLE-MID-MBL-6010W,PCS,10500
BLE-PSN-MX-EX1531WSK,PCS,26900
BLI-HSS-HOL-SAW-13MM,PCS,1090
BLI-HSS-HOL-SAW-16MM,PCS,1050
BLI-HSS-HOL-SAW-19MM,PCS,1120
BLI-HSS-HOL-SAW-20MM,PCS,1290
BLI-HSS-HOL-SAW-22MM,PCS,1330
BLI-HSS-HOL-SAW-24MM,PCS,1380
BLI-HSS-HOL-SAW-25MM,PCS,1480
BLI-HSS-HOL-SAW-26MM,PCS,1580
BLI-HSS-HOL-SAW-28MM,PCS,1790
BLI-HSS-HOL-SAW-30MM,PCS,1890
BLI-HSS-HOL-SAW-32MM,PCS,1990
BLI-HSS-HOL-SAW-34MM,PCS,2090
BLI-HSS-HOL-SAW-35MM,PCS,2090
BLI-HSS-HOL-SAW-38MM,PCS,2090
BLI-HSS-HOL-SAW-40MM,PCS,2490
BLI-HSS-HOL-SAW-42MM,PCS,2490
BLI-HSS-HOL-SAW-45MM,PCS,2890
BLI-HSS-HOL-SAW-50MM,PCS,2990
BLI-HSS-HOL-SAW-54MM,PCS,3990
BLI-HSS-HOL-SAW-60MM,PCS,4490
BLK-PAIL-COVER,PCS,650
BLO-GWC1820PCF,UNIT,45900
BMC-5.2MMX2MX4.8M,PCS,7500
BMC-5.5MMX2MX4.8M,PCS,8200
BMC-R8,PCS,7000
BMC-YA6,PCS,7300
BMC-YA6-6.0MM,SHT,8900
BMC-YA7,SHT,10900
BMC-YA8,SHT,14200
BNW-B&N-ORI-09100,KGS,950
BNW-B&N-ORI-09125,KGS,950
BNW-B&N-ORI-09160,KGS,950
BNW-B&N-ORI-09175,KGS,950
BNW-B&N-ORI-09800,KGS,950
BNW-B&N-ORI-12100,KGS,950
BNW-B&N-ORI-12125,KGS,950
BNW-B&N-ORI-12150,KGS,950
BNW-B&N-ORI-12175,KGS,950
BNW-B&N-ORI-12200,KGS,950
BNW-B&N-ORI-12225,KGS,950
"BNW-B&N-ORI-3/4"" X2.1/2""",KG,950
BNW-B&N-ORI-5/8X1.1/2,KGS,950
BNW-B&N-RBN-105,PCK,160
BNW-B&N-RBN-105-BOX,BOX,1390
BNW-B&N-RBN-106,PCK,180
BNW-B&N-RBN-106-BOX,BOX,1590
BNW-B&N-RBN-110,PCK,200
BNW-B&N-RBN-110-BOX,BOX,1820
BNW-B&N-RBN-112,PCK,260
BNW-B&N-RBN-112-BOX,BOX,2050
BNW-B&N-RBN-115,PCK,230
BNW-B&N-RBN-115-BOX,BOX,2290
BNW-B&N-RBN-120,PCK,260
BNW-B&N-RBN-120-BOX,BOX,2950
BNW-B&N-RBN-204,PCK,160
BNW-B&N-RBN-204-BOX,BOX,1590
BNW-B&N-RBN-205,PCK,280
BNW-B&N-RBN-205-BOX,BOX,1780
BNW-B&N-RBN-206,PCK,290
BNW-B&N-RBN-206-BOX,BOX,1990
BNW-B&N-RBN-210,PCK,210
BNW-B&N-RBN-210-BOX,BOX,2190
BNW-B&N-RBN-212,PCK,250
BNW-B&N-RBN-212-BOX,BOX,2590
BNW-B&N-RBN-215,PCK,270
BNW-B&N-RBN-215-BOX,BOX,2790
BNW-B&N-RBN-220,PCK,280
BNW-B&N-RBN-220-BOX,BOX,3350
BNW-B&N-RBN-225,PCK,630
BNW-B&N-RBN-225-BOX,BOX,3990
BNW-B&N-RBN-230,PCK,580
BNW-B&N-RBN-230-BOX,BOX,4290
BNW-B&N-RBN-240-BOX,BOX,5590
BNW-B&N-RBN-240-PCK,PCK,730
BNW-B&N-RBN-250-BOX,BOX,6950
BNW-B&N-RBN-250-PCK,PCK,990
BNW-B&N-ROO-14112,PCK,180
BNW-B&N-ROO-14112-BOX,BOX,2080
BNW-B&N-ROO-14114,PCK,250
BNW-B&N-ROO-14114-BOX,BOX,1790
BNW-B&N-ROO-1434,PCK,190
BNW-B&N-ROO-1434-BOX,BOX,1350
BNW-B&N-ROO-31612,PCK,120
BNW-B&N-ROO-31612-BOX,BOX,530
BNW-B&N-ROO-31634,PCK,160
BNW-B&N-ROO-31634-BOX,BOX,700
BNW-B&N-ROO-31658,PCK,120
BNW-B&N-ROO-31658-BOX,BOX,660
BNW-BOL-HTM-M06-20MM,PCS,30
BNW-BOL-HTM-M06-25MM,PCS,30
BNW-BOL-HTM-M06-30MM,PCS,30
BNW-BOL-HTM-M06-35MM,PCS,30
BNW-BOL-HTM-M06-40MM,PCS,40
