item_code,uom,display_name,display_name_proposed,changed
BOX-FISH-POLY-M,PCS,Polyfoam Fish Box (m),Polyfoam Fish Box (m),no
BRA-S/S-L-50383,PCS,Stainless Steel L Bracket 50383-50X50,Stainless Steel L Bracket 50383-50X50,no
"CUT-SAW-AP14-350-14""",PCS,Sawnman Handsaw 14,Sawnman Handsaw 14,no
DOR-HIN-BRI-075MM,DOZ,Iron Hinges Bright 3,Iron Hinges Bright 3,no
DOR-LOC-YEROY-60MM,PCS,60MM Yeroy Single Side Lock Cylinder,60MM Yeroy Single Side Lock Cylinder,no
"DRI-AUG-BIT-NO.7/8""",PCS,7/8 No. 1 Star-m Auger Bit (b),7/8 No. 1 Star-m Auger Bit (b),no
"FAS-SCR-CSK-3/4"" X 6G",PCK,Sr Csk Tapping Screw 3/4 X 6G (20PCS/PCK),Sr Csk Tapping Screw 3/4 X 6G (20PCS/PCK),no
FIT-PVC-TEE-20MMX15MM,PCS,PVC Fitting Tee Reducing 3/4 X1/2,PVC Fitting Tee Reducing 3/4 X1/2,no
HOO-SNA-GALV-5MM,PCS,Galv Snap Hook 5MM X 50MM,Galv Snap Hook 5MM X 50MM,no
IND-CEM-GREY-1KG,KG,Topfit Adhesive Cement Grey 1KG,Topfit Adhesive Cement Grey 1KG,no
IND-GAL-WIR-PVC-18#,ROLL,18 PVC Coated Wire X 5KGS,18 PVC Coated Wire X 5KGS,no
KGR-OXI-59A1LIT,TIN,Stove Brand 59A Green Oxide Paint 1 Litre,Stove Brand 59A Green Oxide Paint 1 Litre,no
MAR-PEN-RED,PCS,Sharpie Fine Point P/marker (ls)- Red,Sharpie Fine Point P/marker (ls)- Red,no
NUM-80MM-7,PCS,Acp Numbering 80MM - 7,Acp Numbering 80MM - 7,no
PAI-BRU-LEON-830-75MM,PCS,Leon 830 Nylon Paint Brush 3,Leon 830 Nylon Paint Brush 3,no
PAI-SPR-KIMLAC-9612,TIN,Kimlac Brand Spray Paint 9612,Kimlac Brand Spray Paint 9612,no
RIG-TUR-16MM,PCS,Galvanised Turnbuckle 16MM,Galvanised Turnbuckle 16MM,no
SCA-CAM-EK8850,PCS,Camry-slim Digital Kitc. Scale (S/S)/10KG/22LB,Camry-slim Digital Kitc. Scale (S/S)/10KG/22LB,no
SHH-FIG-BRA-LIN-4X-25LB,PCS,Shuttle 4X Braided Line 100M (25LB) (dark Green),Shuttle 4X Braided Line 100M (25LB) (dark Green),no
SHH-NET-0.15D-40MM-25MD,PCS,"40MM (1 1/2"") (25YDS) Net","40MM (1 1/2"") (25YDS) Net",no
SHH-NET-0.15D-50MM-25MD,PCS,"50MM (2"") (25YDS) Net","50MM (2"") (25YDS) Net",no
SHH-NET-0.15D-65MM,PCS,"65MM (2.1/2"") (25YDS) Net","65MM (2.1/2"") (25YDS) Net",no
SWI-T/SOC-FLE-914-2M4G,SET,Fle T/skt Sp TC-4GL-240B 914-2M,Fle T/skt Sp TC-4GL-240B 914-2M,no
TAP-CAB-CB2805A,PCS,Cabana Hose Bib Tap CB2805A,Cabana Hose Bib Tap CB2805A,no
TAP-CAB-CB2806A,PCS,Cabana Bib Tap CB2806A,Cabana Bib Tap CB2806A,no
TAP-SKC-M18X2.50,SET,Skc Hand Tap M18 X 2.50,Skc Hand Tap M18 X 2.50,no
TOO-WRE-3WAY-121417,PCS,3 Way Spanner 12X14X17,3 Way Spanner 12X14X17,no
VAL-BAL-PVC-ECC2SE,PCS,Ecco PVC Ball VALVE-2 Se,Ecco PVC Ball VALVE-2 Se,no
WOR-MARK-X-CHA-5502,PCS,Worker Charger - 5502,Worker Charger - 5502,no
X-CIMA-DL-RML65A/RND/18W/DL,SET,Lite Me 8 18W L/dl (rnd/day Light),Lite Me 8 18W L/dl (rnd/day Light),no
BOX-LUN-PLA,PCK,PP Lunch Box (tega),PP Lunch Box (tega),no
BURR-CAR-T.C.T-FX1225,PCS,T. C. T Carbide,T. C. T Carbide,no
CAB-LUG-500AMP,PCK,Cable Lug (white) 500AMP 2PCS/PCK,Cable Lug (white) 500AMP 2PCS/PCK,no
CAP-01.2UF-400V-BD,PCS,Capacitor Cpi- Black Square ITALY'/400V Bd 01.2UF,Capacitor Cpi- Black Square ITALY'/400V Bd 01.2UF,no
DOR-DEA-BOL-SGD-D292AC,SET,AC St. Guchi Double Cyl. Deadbolt Lock,AC St. Guchi Double Cyl. Deadbolt Lock,no
