item_code,uom,price_cents
BOS-0600-8A7-FLO,UNIT,48800
BOS-SM20CX-170F,UNIT,72800
TOW-SAN-SWP-BF-7904-G,PCS,16800
TOW-SAN-SWP-BF-3711,PCS,23800
MIR-GLO-S-GLC MB4560BLK,PCS,31800
SHO-SAN-SSP-6005503SS,PCS,32800
BAS-CAB-CWB1409-CB,PCS,28800
DC-DCKIT47BK,SET,89800
LAD-ALU-WORKER-DS07,UNIT,27800
LAD-ALU-WORKER-DS08,UNIT,30800
NIP-SAT-GLO-5L-A,CAN,20780
NIP-FLO-5L-A,CAN,22740
PAP-WALL-PARADISEII-AC9371-06,ROLL,11500
BOS-AQSD75F,UNIT,86500
X-SHO-SOR-SRTSS3180,PCS,14500
STA-CIR-SAW-SC16,UNIT,39800
DC-DQE1200/10L,SET,45500
NIP-IND-ENA-228-800-5L,CAN,16300
NIP-IND-ENA-228-999-5L,CAN,16300
INS-IS1216(B),NOS,23500
TAP-PIL-OTO-966-15,PCS,16800
SPR-BID-SWP-SS-304-6875-BA,PCS,19900
TAP-SAN-SWP-B-3213-G,PCS,18900
SPR-BID-SWP-SS-304-6875A,PCS,15900
RUB-TRT02-SA302,UNIT,39900
NIP-SAT-GLO-5L-145,CAN,22900
ELE-CAB-ZI-C70763G-ROLL,ROLL,25900
BAS-SOR-SRTWT7202-GM,PCS,24900
TAP-SAN-SWP-B-3213-RG,PCS,18900
BOS-0611-2A6-0L0,UNIT,51900
COC-SOR-SRTWT9706,PCS,44900
TAP-SAN-SWP-SS-304-3939-MB,PCS,28900
BOS-0601-1A0-3L0,UNIT,24900
COC-SIN-SRTWT5848-RG,PCS,21900
TAP-SIN-SRTKT72SS,PCS,37900
TOO-MULTI-STMT81243-840,SET,52900
BOS-0601-083-480,UNIT,41900
SIN-CAV-CA850,PCS,19900
TOW-SRT764-24-CR,PCS,31900
BOS-F016-800-536,PCS,17900
BOS-0601-072-5K0,UNIT,24900
DC-DCJZ23-10IEK,SET,37900
ELE-CAB-PVC-4.00MM-BLK,ROLL,20900
ELE-CAB-PVC-4.00MM-RED,ROLL,20900
PAI-SPR-GUN-TM-71,UNIT,35900
X-ELE-CEI-LIG-3011/96W 3CLR,PCS,14900
ALP-WAT-HEA-EZY,UNIT,37900
IND-WHE-WB288-PU,UNIT,21900
CUT-TIL-BLI-BLM800,SET,39900
X-TOO-WOR-5503-12V,SET,25900
INS-IS8503(P),NOS,19900
WEL-MAC-KEN-MMA160A,UNIT,34900
LAD-ALU-AT-DS10,UNIT,37900
BAT-CHA-CHG-AA-4PCS,PCK,8990
BAT-CHA-ENE-4AAA-700MAH,PCS,8490
TAP-SAN-SWP-SS-304-3938-MB,PCS,28800
TAP-SAN-SWP-B-2525,PCS,22800
TAP-SAN-SWP-B-3213-GM,PCS,18800
BOS-0601-1A0-3L1,UNIT,39800
BOS-0600-847-ELO,UNIT,48800
TAP-SAN-SWP-SS-304-3938,PCS,24800
EXH-FAN-OS-16EF,PCS,34800
PUM-WTR-ADELINO-ACM200,UNIT,134500
"SHO-CAB-CSH2062-10""",UNIT,20800
LAD-H/D-STRO-SS06,UNIT,34800
DUR-BON-820-3KG,TIN,9500
ELE-LED-FLO-100W-6500K,PCS,8300
BAT-ENE-REC-AA-4PCS,PCK,8150
BOS-0600-800-010,ROLL,5800
PUM-SHOWFOU-SF-0512N,UNIT,88700
MOT-DC244,UNIT(S),3774
BOS-1600-A01-03S,PCS,7900
TAP-SAN-SWP-SS-304-3950,PCS,19500
NIP-SEA-5100-20L,DRUM,34500
BOS-0601-980-4L1,UNIT,44500
DC-Z1E-FF-110,SET,25500
DOR-WOO-NA11,PCS,37500
SAF-SHO-NK85-10,PAIR,22800
ELE-PEN-DX-9002/1 GD PL,PCS,24500
X-BOS-0601-9F4-0L0,UNIT,29500
SWI-SOC-ELE-PTBK600,PCS,19500
SWI-SOC-ELE-PTBK400,PCS,16500
PAP-WALL-HAVANA-11889-16,ROLL,8500
PAP-WALL-HAVANA-11892-24,ROLL,8500
PAP-WALL-HAVANA-11866-12,ROLL,8500
JOV-WAT-HEA-SL30IP-BLK,PCS,55900
JOV-WAT-HEA-SL30IP-WHI-AWB,PCS,48900
TAP-SAN-SWP-SS-304-3970,PCS,29900
TAP-SAN-SWP-SS-304-3950-MB,PCS,21900
TAP-SAN-SWP-B-3203-RG,PCS,15900
BOS-0601-9K0-0L0,UNITS,157900
NIP-WTRB-18L-WHITE,CAN,59900
SUMO-SM-138,UNIT,136900
BAS-SOR-SRTWT8301-RG,PCS,26900
TAP-SAN-SWP-B-3203-G,PCS,15900
"FAN-CEI-KDK-K14RH-EY-56""",PCS,39900
NIP-WTRB-WHI-15004-5L,CAN,26900
TAP-SAN-SWP-B-3202,PCS,21900
TAP-SAN-SWP-B-3202-GM,PCS,25900
BOS-0601-B45-0L0,SET,135900
TAP-SOR-SRTKT68SS-FRG,PCS,34900
BOS-0601-3A2-0L0,UNIT,62900
EXH-FAN-OS-18EF,PCS,42900
BOS-0601-2A8-0L0,UNIT,26900
BOX-ICE-100LTR-BLUE,PCS,31900
PRO-COAT-Z588-GRY-18KG,TIN,36900
MIR-GLO-S-RR50160A281S(BK),PCS,24900
SIN-CAB-CKS819,PCS,21900
FAN-STA-OS-20SF,PCS,29900
GRA-CUT-TK-328,UNIT,29900
FOL-TAB-CN YX-Z182D,PCS,20900
TOO-SOC-SET-STA-998645503,SET,31900
TOW-CAB-CB720-GM,PCS,16900
X-DRI-IMP-MIN-MS600,SET,15900
VAC-DEC-ROB-BRVA425B00-B1,UNIT,109900
COMPRESSOR-AIRBANK-AB2.5HP,UNIT,64900
X-STA-GL260,UNIT,13900
BOX-ICE-200LTR,PCS,42900
FAN-TAB-KDK-KB-404,PCS,18900
X-TOO-DRI-SET-MKX-2018-12V,SET,20900
GRA-CUT-21V,SET,27900
IND-TRU-MET-150KGS,UNIT,17900
BOA-GYP-09MM,PCS,8900
EXH-FAN-CIMA-EF-10-12F-CIE-WH,SET,13900
LAD-H/D-STRO-DS03,UNIT,25900
ELE-PEN-5566/3-PL,PCS,16900
NIP-FLO-5L-P,CAN,20930
NIP-QGL-5L-A,CAN,15830
TAP-SAN-SWP-B-2521,PCS,23800
BOS-AHI4-4PC-R,UNIT,99800
TAP-SAN-SWP-SS-304-3936-MB,PCS,16800
BOS-86-BG6,UT,25800
STA-ROT-BCRT8K35,UNIT,28800
TOW-SAN-SWP-BF-3712,PCS,16800
BOS-0611-337-0L0,UNIT,149800
WAL-DOW-2117-E27,PCS,14800
